英語表現, 日本語訳
never ... without ..., ～すれば必ず…する
cannot ... enough, いくら～してもしすぎることはない
cannot help V-ing, ～せずにはいられない
no longer, もはや～ない
by no means, 決して～ない
It is not until ... that ..., ～して初めて…だ
It is not long before ..., まもなく～する
nothing but ..., …以外何もない／…だけ
do nothing but ..., ～ばかりしている
have no choice but to-V, ～するしかない
the last ... to-V, 決して～する…ではない（～する最後の…だ）
free from ..., …がない（…から自由である）
far from ..., 決して…ない（…からほど遠い）
anything but ..., 決して…でない（…以外は何でもありうる）
fail to-V, ～しない／～するのを怠る
never fail to-V, 必ず～する
beyond ..., ～できない（…を越えている）
It is ... that ..., …なのは～だ（強調構文）
do / does / did + 原形, 本当に～（動詞の強調）
the very + 名詞, まさにその～
on earth, 一体（全体）
in the world, 一体（全体）
not ... at all, まったく～でない
not ... in the least, まったく～でない
All S have to do is (to) V, Sは～しさえすればよい
Little did S V ..., …とは夢にも思わなかった（否定の倒置）
Only ..., …しか～ない（倒置）
so V S, Sもそうだ
neither V S, Sもそうではない
nor V S, Sもそうではない
if any, もしあれば
if necessary, もし必要なら
unless spoken to, 話しかけられない限り
as ... as ..., …と同じくらい～
not as ... as ..., …ほど～でない
X times as ... as ..., …のX倍～
more ... than ..., …よりも～
much / far + 比較級, ずっと～（比較級の強調）
a little / a bit + 比較級, 少し～（比較級の強調）
less ... than ..., …ほど～でない
the most ..., 最も～
one of the + 最上級 + 複数名詞, 最も～なものの１つ
No (other) ... as ... as ..., …ほど～なものはない
No (other) ... 比較級 + than ..., …より～なものはない
比較級 + than any other ..., 他のどの…よりも～
as ... as possible, できるだけ～
as many ... as ..., …もの数（～と同じくらいの数）
as much ... as ..., …もの量（～と同じくらいの量）
not so much A as B, AというよりむしろB
B rather than A, AというよりむしろB
The 比較級 ..., the 比較級 ..., ～すればするほど、ますます…
all the better for ..., …のため、それだけいっそう～である
more and more, ますます～／だんだん～
much less ..., まして…ない
still less ..., まして…ない
superior to ..., …より優れている
inferior to ..., …より劣っている
prefer A to B, BよりAが好き
more A than B, BというよりむしろA（同一人物・物の性質比較）
know better than to-V, ～するほど愚かではない／～しない分別がある
no more than ..., わずか…／…しかない
no less than ..., …もある
not more than ..., 多くて…
not less than ..., 少なくとも…
A is no more B than C is (D), (CがDでないのと同様に)AはBでない
A is no less B than C is (D), (CがDであるのと同様に)AはBである
more or less, およそ／だいたい
sooner or later, 遅かれ早かれ／そのうちに
the + 最上級 + that S have ever ..., 今までに…した中で最も～
at least, 少なくとも
at most, せいぜい／多くとも
at one's best, 最良の状態で
as ... as any, どれ（誰）にも劣らず…
as ... as ever lived, 古今まれな…／並はずれて…
as ... as ever, 相変わらず…
may [might] as well A (as B), （Bするくらいなら）Aした方がよい
not so much as ..., …さえしない
without so much as ...ing, …さえしないで
A as well as B, BばかりでなくAも／Bと同様にAも
as good as ..., …も同然
as many ..., 同数の…
like so many ..., まるで（同数の）…のように
the + 比較級 (of the two), （2者の内で）一方の方が…
none the ... for ..., ～にもかかわらず少しも…でない
much [still] more, まして～／なおさら～
no sooner ... than ..., ～するとすぐに…
more often than not, たいてい
nothing more than ..., ～に過ぎない
nothing less than ..., ～も同然だ／まさに～だ
no better than ..., ～も同然だ
get the better of ..., ～に勝つ
a most + 形容詞 + 名詞, とても～（veryの意味）
make the most of ..., ～を最大限に利用〔活用〕する
do [try] one's best, 最善を尽くす
at (the) best, よくても／せいぜい
at (the) worst, 悪くても
to say the least (of it), 控えめに言っても